Drug,"Drug Target","Effect size",P-value,FDR%,"No. of altered cell lines","Tissue analysis"
Entinostat,"HDAC1, HDAC3",-0.299,0.0048,66.9,20,PANCANCER
Crizotinib,"MET, ALK, ROS1",-0.472,0.00545,46.4,20,PANCANCER
Trametinib,"MEK1, MEK2",0.302,0.00932,21.4,39,PANCANCER
IOX2,EGLN1,-0.155,0.00983,55,40,PANCANCER
TAK-715,"p38alpha, p38beta",-0.381,0.0146,57.2,43,PANCANCER
CI-1040,"MEK1, MEK2",0.279,0.0206,25.7,38,PANCANCER
NG-25,"TAK1, MAP4K2",-0.182,0.0225,45.8,43,PANCANCER
"Genentech Cpd 10","AURKA, AURKB",-0.24,0.0312,78.9,43,PANCANCER
Piperlongumine,"Induces reactive oxygen species",0.337,0.0317,44.6,40,PANCANCER
Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",-0.153,0.0349,92.4,20,PANCANCER
KIN001-260,IKKB,-0.143,0.0369,71.9,43,PANCANCER
Ruxolitinib,"JAK1, JAK2",-0.0718,0.0377,99.7,43,PANCANCER
CCT-018159,HSP90,-0.189,0.039,9.4,36,PANCANCER
BMS-345541,"IKK1, IKK2",-0.295,0.0431,73.3,43,PANCANCER
TL-1-85,TAK,-0.0792,0.0468,66.8,43,PANCANCER
Pictilisib,"PI3K (class 1)",0.171,0.0473,59.3,37,PANCANCER
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3",-0.107,0.0529,70.6,38,PANCANCER
Saracatinib,"ABL, SRC",-0.199,0.0564,90.5,20,PANCANCER
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",-0.309,0.0576,72.8,38,PANCANCER
XAV939,"TNKS1, TNKS2",0.429,0.0614,82.8,40,PANCANCER
WH-4-023,"SRC, LCK",-0.192,0.0641,80.4,20,PANCANCER
A-770041,"LCK, FYN",-0.218,0.0665,63.7,20,PANCANCER
PAC-1,"Procaspase-3, Procaspase-7",-0.294,0.0669,77.9,35,PANCANCER
TL-2-105,"not defined",-0.184,0.0704,93.3,43,PANCANCER
BAY-61-3606,SYK,-0.298,0.0707,48.6,36,PANCANCER
UNC0638,"G9a and GLP methyltransferases",-0.183,0.0708,96.9,43,PANCANCER
A-443654,"AKT1, AKT2, AKT3",-0.331,0.075,72.9,20,PANCANCER
Selumetinib,"MEK1, MEK2",0.206,0.0782,50.7,39,PANCANCER
PD0325901,"MEK1, MEK2",0.126,0.0799,92.7,37,PANCANCER
Nilotinib,ABL,-0.079,0.08,99.2,36,PANCANCER
GW843682X,PLK1,-0.244,0.0824,53.1,20,PANCANCER
Refametinib,"MEK1, MEK2",0.12,0.0849,73.6,36,PANCANCER
JQ1,"BRD2, BRD3, BRD4, BRDT",0.313,0.0862,84.9,39,PANCANCER
BI-2536,"PLK1, PLK2, PLK3",-0.239,0.0868,49.2,20,PANCANCER
QS11,ARFGAP1,-0.324,0.0941,90.8,36,PANCANCER
Pyrimethamine,"Dihydrofolate reductase (DHFR)",-0.488,0.0951,73.6,20,PANCANCER
Fedratinib,JAK2,-0.0803,0.0958,92.8,43,PANCANCER
"AICA Ribonucleotide","AMPK agonist",0.304,0.097,94.2,37,PANCANCER
Selumetinib,"MEK1, MEK2",0.14,0.104,72.2,37,PANCANCER
Temsirolimus,MTOR,0.505,0.111,72.3,38,PANCANCER
MK-2206,"AKT1, AKT2",0.109,0.113,97.6,37,PANCANCER
Tozasertib,"AURKA, AURKB, AURKC, others",-0.277,0.118,79.4,20,PANCANCER
I-BET-762,"BRD2, BRD3, BRD4",-0.241,0.118,96.2,43,PANCANCER
CP466722,ATM,-0.207,0.121,99.8,43,PANCANCER
Imatinib,"ABL, KIT, PDGFR",-0.148,0.121,99.6,20,PANCANCER
Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",-0.0194,0.124,77.7,43,PANCANCER
S-Trityl-L-cysteine,KIF11,-0.0761,0.126,82.1,20,PANCANCER
Pelitinib,EGFR,-0.262,0.126,87.2,43,PANCANCER
BMS-536924,"IGF1R, IR",0.185,0.134,76.8,40,PANCANCER
Paclitaxel,"Microtubule stabiliser",-0.213,0.135,70.5,20,PANCANCER
"Bryostatin 1",PKC,0.288,0.148,98.9,36,PANCANCER
Seliciclib,"CDK2, CDK7, CDK9",-0.362,0.15,90.6,20,PANCANCER
QL-VIII-58,"MTOR, ATR",0.27,0.152,58.1,30,PANCANCER
GSK429286A,"ROCK1, ROCK2",0.0588,0.164,72.2,43,PANCANCER
MPS-1-IN-1,MPS1,-0.184,0.164,76.5,43,PANCANCER
Rucaparib,"PARP1, PARP2",-0.00502,0.165,40.4,37,PANCANCER
JQ1,"BRD2, BRD3, BRD4, BRDT",-0.247,0.166,75.2,38,PANCANCER
CGP-082996,CDK4,-0.17,0.166,89.4,20,PANCANCER
Pictilisib,"PI3K (class 1)",0.261,0.168,86.9,37,PANCANCER
Bortezomib,Proteasome,0.105,0.17,63.4,20,PANCANCER
BMS-509744,ITK,-0.169,0.171,92.6,20,PANCANCER
HG6-64-1,BRAF,-0.0829,0.172,69.4,38,PANCANCER
TGX221,PI3Kbeta,-0.121,0.179,84.1,20,PANCANCER
KIN001-266,MAP3K8,-0.2,0.184,64,43,PANCANCER
Refametinib,"MEK1, MEK2",0.114,0.187,52.1,36,PANCANCER
DMOG,HIF-PH,0.293,0.196,98.9,38,PANCANCER
AZD6482,PI3Kbeta,0.229,0.197,60.8,37,PANCANCER
Afatinib,"ERBB2, EGFR",0.0708,0.199,83.7,40,PANCANCER
Enzastaurin,PKCB,-0.3,0.199,92.7,43,PANCANCER
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",-0.0115,0.201,90.2,38,PANCANCER
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",-0.0231,0.203,93.4,20,PANCANCER
PHA-665752,MET,-0.176,0.205,99.8,20,PANCANCER
Daporinad,NAMPT,0.111,0.206,75.5,38,PANCANCER
AZ628,BRAF,-0.0501,0.21,83.2,20,PANCANCER
AT-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",-0.131,0.217,86.9,43,PANCANCER
JNK-9L,"JNK2, JNK3",-0.234,0.233,62.1,38,PANCANCER
Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",0.0513,0.235,94.7,43,PANCANCER
FMK,RSK,-0.0534,0.239,72.6,36,PANCANCER
CX-5461,"RNA Polymerase 1",-0.18,0.24,81.6,43,PANCANCER
Masitinib,"KIT, PDGFRA, PDGFRB",-0.133,0.241,91.5,43,PANCANCER
Vismodegib,SMO,0.228,0.242,80.7,38,PANCANCER
BMS-536924,"IGF1R, IR",-0.165,0.244,88.6,20,PANCANCER
BIX02189,"MEK5, ERK5",-0.0414,0.244,90.2,43,PANCANCER
NSC-207895,MDM4,-0.138,0.245,95.8,43,PANCANCER
Bleomycin,"dsDNA break induction",0.241,0.249,38.5,41,PANCANCER
GSK1070916,"AURKA, AURKC",-0.117,0.251,90.5,42,PANCANCER
Rapamycin,MTORC1,-0.159,0.251,98.9,18,PANCANCER
Avagacestat,"Amyloid beta20, Amyloid beta40",-0.266,0.255,71.2,43,PANCANCER
XMD13-2,RIPK1,-0.131,0.255,90.2,43,PANCANCER
UNC1215,L3MBTL3,0.0412,0.258,91.1,39,PANCANCER
SN-38,TOP1,0.328,0.263,52.8,41,PANCANCER
JW-7-52-1,MTOR,-0.24,0.266,92.1,18,PANCANCER
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",-0.00963,0.274,69.7,20,PANCANCER
NVP-BHG712,EPHB4,-0.139,0.275,89.1,43,PANCANCER
Tivozanib,"VEGFR1, VEGFR2, VEGFR3",-0.000351,0.279,99.8,43,PANCANCER
"AKT inhibitor VIII","AKT1, AKT2, AKT3",-0.288,0.282,86.3,43,PANCANCER
Quizartinib,FLT3,-0.102,0.286,98.6,43,PANCANCER
SGC0946,DOT1L,-0.109,0.286,53.1,38,PANCANCER
Y-39983,ROCK,-0.0742,0.29,79.3,43,PANCANCER
CMK,RSK2,-0.06,0.291,70.7,20,PANCANCER
XMD14-99,"ALK, CDK7, LTK, others",-0.0753,0.291,95.9,43,PANCANCER
Vinorelbine,"Microtubule destabiliser",-0.206,0.291,90,38,PANCANCER
PF-4708671,S6K1,-0.0383,0.292,52.4,37,PANCANCER
Selisistat,SIRT1,-0.0306,0.295,89.8,43,PANCANCER
Docetaxel,"Microtubule stabiliser",0.313,0.303,69.9,38,PANCANCER
Cetuximab,EGFR,-0.122,0.313,71.8,37,PANCANCER
HG-5-88-01,"EGFR, ADCK4",0.349,0.317,76.3,30,PANCANCER
CP724714,ERBB2,-0.249,0.327,74,43,PANCANCER
Sorafenib,"PDGFR, KIT, VEGFR, RAF",0.0456,0.333,87.7,20,PANCANCER
GW441756,NTRK1,-0.0622,0.337,99.4,38,PANCANCER
