Drug,"Drug Target","Effect size",P-value,FDR%,"No. of altered cell lines","Tissue analysis"
GSK690693,"AKT1, AKT2, AKT3",-0.617,1.8e-08,0.00121,89,PANCANCER
Linsitinib,IGF1R,0.598,0.00501,69.6,79,PANCANCER
CCT-018159,HSP90,-0.324,0.00801,5.15,84,PANCANCER
AZD6482,PI3Kbeta,-0.507,0.0114,48.2,82,PANCANCER
A-770041,"LCK, FYN",0.32,0.016,55.2,34,PANCANCER
"TW 37","BCL2, BCL-XL, MCL1",-0.407,0.0205,19.4,87,PANCANCER
IOX2,EGLN1,-0.246,0.0243,75.9,91,PANCANCER
SGC0946,DOT1L,-0.173,0.0299,36.6,88,PANCANCER
Temsirolimus,MTOR,-0.328,0.0308,61.3,81,PANCANCER
Axitinib,"PDGFR, KIT, VEGFR",-0.205,0.0329,75.8,83,PANCANCER
BMS-536924,"IGF1R, IR",0.411,0.0369,65.1,91,PANCANCER
GSK1070916,"AURKA, AURKC",-0.0683,0.0399,83.2,88,PANCANCER
GSK650394,"SGK2, SGK3",-0.281,0.0455,73.9,79,PANCANCER
DMOG,HIF-PH,0.252,0.0469,98.9,82,PANCANCER
Idelalisib,PI3Kdelta,-0.154,0.048,99.1,90,PANCANCER
MG-132,"Proteasome, CAPN1",-0.236,0.0521,55.9,37,PANCANCER
Cisplatin,"DNA crosslinker",-0.199,0.0555,34.1,83,PANCANCER
AZD6482,PI3Kbeta,-0.34,0.057,34,83,PANCANCER
Omipalisib,"PI3K (class 1), MTORC1, MTORC2",-0.258,0.0572,79.1,89,PANCANCER
Rapamycin,MTORC1,0.235,0.0593,98.9,30,PANCANCER
PF-4708671,S6K1,-0.149,0.0615,32.1,83,PANCANCER
GSK429286A,"ROCK1, ROCK2",-0.111,0.066,68.8,90,PANCANCER
TGX221,PI3Kbeta,-0.471,0.0719,75.6,37,PANCANCER
Bicalutamide,AR,-0.166,0.0737,84.6,79,PANCANCER
BMS-536924,"IGF1R, IR",0.407,0.074,77.5,34,PANCANCER
Avagacestat,"Amyloid beta20, Amyloid beta40",-0.131,0.0749,56.7,89,PANCANCER
GW-2580,CSF1R,-0.129,0.0777,97,89,PANCANCER
PLX-4720,BRAF,0.154,0.0822,89.4,80,PANCANCER
Vismodegib,SMO,-0.135,0.0891,67,83,PANCANCER
Zibotentan,"Endothelin-1 receptor (EDNRA)",-0.178,0.0907,70.6,88,PANCANCER
Saracatinib,"ABL, SRC",0.278,0.0923,90.5,34,PANCANCER
"Wee1 Inhibitor","WEE1, CHEK1",0.101,0.0967,54.5,72,PANCANCER
XMD8-85,"ERK5, BET",-0.304,0.098,57.4,37,PANCANCER
EHT-1864,"RAC1, RAC2, RAC3",-0.159,0.105,62.8,88,PANCANCER
CCT007093,PPM1D,-0.147,0.106,53,87,PANCANCER
"Bryostatin 1",PKC,-0.215,0.111,98.9,79,PANCANCER
"AKT inhibitor VIII","AKT1, AKT2, AKT3",-0.11,0.113,77.9,90,PANCANCER
THZ-2-102-1,CDK7,0.137,0.114,66.3,86,PANCANCER
UNC1215,L3MBTL3,-0.0657,0.119,88,88,PANCANCER
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",0.192,0.12,93.4,34,PANCANCER
SB590885,BRAF,0.179,0.12,99.8,77,PANCANCER
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",0.301,0.12,67.2,34,PANCANCER
Y-39983,ROCK,-0.157,0.121,75.5,88,PANCANCER
WZ-1-84,BMX,0.275,0.124,99.8,34,PANCANCER
NVP-TAE684,ALK,0.37,0.127,96.7,34,PANCANCER
Dabrafenib,BRAF,0.174,0.129,84.7,85,PANCANCER
T0901317,"LXR, FXR",-0.0697,0.129,98.8,89,PANCANCER
Bicalutamide,AR,-0.111,0.133,99.6,86,PANCANCER
JW-7-52-1,MTOR,0.194,0.133,92.1,33,PANCANCER
ZG-10,JNK1,-0.295,0.133,76.6,56,PANCANCER
OSI-930,KIT,-0.132,0.135,54.2,89,PANCANCER
WHI-P97,JAK3,0.26,0.135,81.5,88,PANCANCER
